epoch,steps,training step,training data,training loss,training prec1,training prec5,training error1,training error5,validation step,validation data,validation loss,validation prec1,validation prec5,validation error1,validation error5
107,41730,0.013386161510760967,0.0020859571603628305,0.07989259742869016,97.21354166666667,99.99198717948718,2.7864583333333286,0.008012820512817598,0.014110136635695832,0.01153205316277999,0.36206762576103213,90.35,99.73,9.650000000000006,0.269999999999996
108,42120,0.01365522299057398,0.0022939082903739734,0.07563931472026385,97.38982371794872,99.99399038461539,2.6101762820512846,0.006009615384613198,0.0141129372995111,0.009417627431169341,0.36577250633239744,90.32,99.69,9.680000000000007,0.3100000000000023
109,42510,0.013631518070514385,0.0019168493075248524,0.07360257719380733,97.55408653846153,99.99198717948718,2.445913461538467,0.008012820512817598,0.013992979556699342,0.010758517663690109,0.3676765319824219,90.33,99.73,9.670000000000002,0.269999999999996
110,42900,0.013694415337000138,0.002251936839177058,0.07616489756231506,97.31971153846153,99.98597756410257,2.680288461538467,0.014022435897430796,0.014023883433281622,0.01041360746456098,0.3696363416194916,90.18,99.7,9.819999999999993,0.29999999999999716
111,43290,0.013317028070107484,0.002315709529778896,0.07239425419710385,97.53405448717949,99.98397435897436,2.465945512820511,0.016025641025635196,0.014067372189292425,0.010221282138100153,0.3700836271286011,90.35,99.75,9.650000000000006,0.25
112,43680,0.013597435828966973,0.002050116734626966,0.07266880166836275,97.44591346153847,99.98397435897436,2.554086538461533,0.016025641025635196,0.014112128487116174,0.010099975368644617,0.3703670611381531,90.5,99.7,9.5,0.29999999999999716
113,44070,0.013654869642013158,0.0020348249337612053,0.07442651028052355,97.44391025641026,99.98197115384616,2.5560897435897374,0.018028846153839595,0.013986340051964868,0.009401547757885124,0.37901981077194213,90.23,99.67,9.769999999999996,0.3299999999999983
114,44460,0.013412397335737179,0.0022752865766867613,0.07110689513098735,97.53004807692308,99.98798076923077,2.46995192307692,0.012019230769226397,0.014226726338833193,0.011318209805066072,0.38072031688690183,89.96,99.72,10.040000000000006,0.28000000000000114
115,44850,0.0136794524315076,0.0023247847190270058,0.06865085719917448,97.58814102564102,99.98998397435898,2.411858974358978,0.010016025641021997,0.014166285720052598,0.011166279829001124,0.37481071376800534,90.34,99.67,9.659999999999997,0.3299999999999983
116,45240,0.013532209396362304,0.001897405355404585,0.06934937722025773,97.64823717948718,99.99198717948718,2.3517628205128176,0.008012820512817598,0.014008449602730667,0.010754265362703347,0.37327791080474854,90.26,99.71,9.739999999999995,0.29000000000000625
